number,name
1,Unami
2,Sakuwit
3,Nawakwa
4,Ranachqua
5,Kittatinny
6,Wagion
7,Owasippe
8,Mascoutens (merger discussions)
9,Lenapehoking
10,Tschitani
11,Sasquesahanough
12,Nentico
13,Wiatava
14,Ema’o-Mahpe
15,Ktemaque
16,Totanhan Nakaha
17,Cuyahoga
18,Wyona
20,Nentego
21,Jaccos Towne
22,Octoraro
23,Wenasa Quenhotan
24,Shu-Shu-Gah
26,Blue Ox
27,Pa-Hin
28,Half Moon
29,Noquet
30,Tkäen Dõd
31,Naguonabe
32,Puvunga
33,Ajapeu
34,Ga-hon-ga
35,Wichita
36,Onondaga
37,Te’Kening
38,Konepaka Ketiwa
39,Wunita Gokhos
40,Ma-Ka-Ja-Wan
41,Lowaneu Allanque
42,Wah-Sha-She
43,Woapalane
44,Witauchsoman
45,Tiwahe
46,Langundowi
47,Amangi Nacha
49,Suanhacky
50,Coosa
51,Shawnee
52,Moswetuset
53,Wahpekute
55,Illini
56,Wapashuwi
57,Allohak Menewi
58,Ut-In Selica
59,Chippanyonk
60,Aina Topa Hutsi
61,Awase (merger discussions)
62,Talligewi (merged effective 1-1-13)
63,Ohlone
64,Toloma
65,Tecumseh
66,Yah-Tah-Hey-Si- Kess
67,Black Hawk
70,Tsoiotsi Tsogalii
71,Na-Tsi-Hi
72,Tejas
74,Timmeu
75,Kiskakon
76,Hunnikick
78,Kwahadi
82,Man-A-Hattin
83,Pocumtuc
85,Seminole
86,Nacha Nimat
87,Bob White
88,Kishahtek
90,Chumash
94,Tatanka-Anpetu-Wi
96,Tom Kita Chara
97,Kit-Ke-Hak-O-Kut
99,Tonkawa
100,Anpetu-we
101,Mikanakawa
102,Abnaki
103,Monaken
104,Occoneechee
105,Tetonwana
108,Sac’N’Fox
110,Michigamea
111,Wa-Hi-Nasa
112,Aquehongian
113,Wihinipa Hinsa
114,Nisha Kittan
116,Santee
117,Croatan
118,Wahissa
119,Tomo Chi-Chi
127,Cahuilla
129,Egwa Tawa Dee
132,Illinek
133,Ma-Nu
134,Tsali
137,Colonneh
138,Ta Tsu Hwa
139,Ah-tic
140,Wulapeju
141,Tatanka
145,Ku-Ni-Eh
146,Takoda
147,Tamegonit
149,Caddo
150,Nakona
151,Marnoc
155,Nisqually
156,Ag-Im (merger discussions)
158,Nanepashemet
159,Ho-De-No-Sau-Nee
160,Quapaw
161,Tutelo
164,Tisquantum
165,Ho-Nan-Ne-Ho-Ont
166,Quelqueshoe
167,Woapink
168,Kuskitannee
169,Watonala
171,Crazy Horse
172,Otahnagon
173,Takachsin
175,Lakota
179,Alibamu
184,Sequoyah
185,Atta Kulla Kulla
188,Itibapishe Iti Hollo
190,Wisawanik
191,Lowwapaneu
193,Ashwanchi Kinta
194,Orca
195,Tah Heetch
196,Ka’Niss Ma’Ingan
197,Waupecan
198,Kansa
199,Wahinkto
200,Echockotee
201,White Horse (merged effective 1-1-13)
202,Chicksa
204,Chattahoochee
205,Nguttitehen (merger effective 1-1-13)
209,Netopalis Sipo Schipinachk
211,Pamola
212,Nischa Chuppecat
216,Nampa-Tsi
219,Lowanne Nimat
220,Passaconaway
221,Muscogee
224,Cowikee
229,Pilthlako
230,Pellissippi
231,Mikano (merger discussions)
232,Akela Wahinapay
235,Ittawamba
236,Un A Li’yi
237,Aal-Pa-Tah
239,Semialachee
243,Mowogo
245,Tulpe
246,Pachsegink
249,Spe-Le-Yai
252,Siwinis
253,Tsisqan
254,Comanche
255,Gyantwachia
258,Shenandoah
260,Sebooney Okasucca
265,O-Shot-Caw
266,Tukarica
270,Skyuka
271,Madockawanda
272,Wewanoma
276,Shenshawpotoo
280,Wag-O-Shag
282,Achewon Nimat
288,Washita
291,Topa Topa
292,Tarhe
293,Talidandaganu’
296,Nayawin Rar
300,Apoxky Aio
303,Yowlumne
307,Karankawa
309,Grand Monadnock
311,Es Kaielgu
312,Nebagamon
313,Owaneco
317,Guneukitschik
318,Waguli
322,Woa Cholena
324,Ini-to
326,Tipisa
331,Klahican
333,Wahunsenakah
336,Wa-La-Moot-Kin
337,Otyokwa
338,Sikhs Mox Lamonti
339,Ashokwahta
340,Timuquan
341,Japeechen
343,Woapeu Sisilija
346,Tannu
349,Blue Heron
351,Ajapeu
353,Immokalee
355,Nanuk
356,Tatokainyanka
358,Echeconnee
360,Shinnecock
363,Ma I Shu
364,Kittan
372,Mandan
377,Sipp-O
378,Gila
379,Kaweah
381,Ni-Sanak-Tani
383,Tahosa
385,Yustaga
387,Ha-Kin-Skay-A-Ki
393,Abake-Mi-Sa-Na-Ki
397,Chilantakoba
397,Tschipey Achtu
399,Abooikpaagun
402,Onteroraus
404,Ti’ak
407,Shunkah Mahneetu
412,Buckskin
422,Kiondaga
424,Netawatwees
427,Achewon Netopalis
428,Loquanne Allangwh
429,Dzie-Hauk Tonga
432,Wipala Wiki
434,Kidi-Kidish
439,Miwok
442,Wauna La-Mon ‘Tay
449,Mawat Woakus
450,Mitigwa
457,Thal-Coo-Zyo
459,Catawba
464,Kola
466,Hungteetsepoppi
467,Cho-Gun-Mun-A-Nock
470,Amangamek-Wipit
479,Quinipissa
480,Kawida
481,Aracoma
482,Black Eagle
486,Nischa Achowalogen
488,Ta Tanka
491,Lo La ‘Qam Geela
492,Golden Sun
494,Papago
495,Miami
498,Achpateuny
502,T’Kope Kwiskwis
506,Yokahu
508,Tu-Cubin-Noonie
520,El-Ku-Ta
522,Tindeuchen
525,Pachachaug
531,Esselen
533,Talako
535,Awaxaawe Awachia
536,Tupwee Gudas Gov Youchiquot Soovep
540,Ahtuhquog
541,Mic-O-Say
545,Alapaha
549,Toontuk
550,Menawngihella
553,Paugassett
554,Maluhia
555,Gamenowinink
558,Ahoalan-Nachpikin
559,Wachtschu Mawachpo
560,Eswau Huppeday
561,Penateka
562,Arawak
563,Atchafalaya
564,Osceola
566,Malibu
567,Na Mokupuni O Lawelawe
573,Sakima
578,Hasinai
614,Tataliya
617,Chi-Hoota-Wei
618,Nendawen
619,Portage
804,Agaming Maangogwan
,Nataepu Shohpe
